date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:53	999/999	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Nov%202018%2014:55:47%20GMT	https://p.w3layouts.com/robots.txt		(from )
20:40:54	6353/6353	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Nov%202018%2014:55:47%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/index.html	(from )
20:40:55	8755/8755	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/css/style.css	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/css/style.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:40:56	96381/96381	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery-1.11.0.min.js	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery-1.11.0.min.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:40:58	19047/19047	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery.seat-charts.js	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery.seat-charts.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:40:58	1131/1131	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bc4860b-46b%22	http://vdo.ai/core/w3layouts/vdo.ai.js	F:/ticket/vdo.ai/core/w3layouts/vdo.ai.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:40:59	39503/39503	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d357ea10aada657aadaee2ec862c3da%22	http://m.servedby-buysellads.com/monetization.js	F:/ticket/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:41:03	59364/59364	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery.nicescroll.js	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/jquery.nicescroll.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:41:04	43233/43233	---MC-	200	added ('OK')	text/javascript	date:Thu,%2011%20Oct%202018%2019:41:26%20GMT	http://www.google-analytics.com/analytics.js	F:/ticket/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:41:04	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	F:/ticket/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:41:05	634/634	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/scripts.js	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/js/scripts.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/)
20:41:11	212824/212824	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/images/banner2.jpg	F:/ticket/p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/images/banner2.jpg	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/movie_ticket_booking_widget/web/css/style.css)
